id,x,y
278,-0.121554,-0.689365
279,-1.28584e-16,-0.7
280,0.121554,-0.689365
281,0.239414,-0.657785
282,0.35,-0.606218
283,0.449951,-0.536231
284,0.536231,-0.449951
285,0.606218,-0.35
286,0.657785,-0.239414
287,0.689365,-0.121554
288,0.8,0
289,0.787846,0.138919
290,0.751754,0.273616
291,0.69282,0.4
292,0.612836,0.51423
293,0.51423,0.612836
294,0.4,0.69282
295,0.273616,0.751754
296,0.138919,0.787846
297,4.89843e-17,0.8
298,-0.138919,0.787846
299,-0.273616,0.751754
300,-0.4,0.69282
301,-0.51423,0.612836
302,-0.612836,0.51423
303,-0.69282,0.4
304,-0.751754,0.273616
305,-0.787846,0.138919
306,-0.8,9.79685e-17
307,-0.787846,-0.138919
308,-0.751754,-0.273616
309,-0.69282,-0.4
310,-0.612836,-0.51423
311,-0.51423,-0.612836
312,-0.4,-0.69282
313,-0.273616,-0.751754
314,-0.138919,-0.787846
315,-1.46953e-16,-0.8
316,0.138919,-0.787846
317,0.273616,-0.751754
318,0.4,-0.69282
319,0.51423,-0.612836
320,0.612836,-0.51423
321,0.69282,-0.4
322,0.751754,-0.273616
323,0.787846,-0.138919
324,0.9,0
325,0.886327,0.156283
326,0.845723,0.307818
327,0.779423,0.45
328,0.68944,0.578509
329,0.578509,0.68944
330,0.45,0.779423
331,0.307818,0.845723
332,0.156283,0.886327
333,5.51073e-17,0.9
334,-0.156283,0.886327
335,-0.307818,0.845723
336,-0.45,0.779423
337,-0.578509,0.68944
338,-0.68944,0.578509
339,-0.779423,0.45
340,-0.845723,0.307818
341,-0.886327,0.156283
342,-0.9,1.10215e-16
343,-0.886327,-0.156283
344,-0.845723,-0.307818
345,-0.779423,-0.45
346,-0.68944,-0.578509
347,-0.578509,-0.68944
348,-0.45,-0.779423
349,-0.307818,-0.845723
350,-0.156283,-0.886327
351,-1.65322e-16,-0.9
352,0.156283,-0.886327
353,0.307818,-0.845723
354,0.45,-0.779423
355,0.578509,-0.68944
356,0.68944,-0.578509
357,0.779423,-0.45
358,0.845723,-0.307818
359,0.886327,-0.156283
360,1,0
361,0.984808,0.173648
362,0.939693,0.34202
363,0.866025,0.5
364,0.766044,0.642788
365,0.642788,0.766044
366,0.5,0.866025
367,0.34202,0.939693
368,0.173648,0.984808
369,6.12303e-17,1
370,-0.173648,0.984808
371,-0.34202,0.939693
372,-0.5,0.866025
373,-0.642788,0.766044
374,-0.766044,0.642788
375,-0.866025,0.5
376,-0.939693,0.34202
377,-0.984808,0.173648
378,-1,1.22461e-16
379,-0.984808,-0.173648
380,-0.939693,-0.34202
381,-0.866025,-0.5
382,-0.766044,-0.642788
383,-0.642788,-0.766044
384,-0.5,-0.866025
385,-0.34202,-0.939693
386,-0.173648,-0.984808
387,-1.83691e-16,-1
388,0.173648,-0.984808
389,0.34202,-0.939693
390,0.5,-0.866025
391,0.642788,-0.766044
392,0.766044,-0.642788
393,0.866025,-0.5
394,0.939693,-0.34202
395,0.984808,-0.173648
